字,假名,送假名,旧字体,音训读,简体字,等级,类别
愚,ぐ,,,音读,,3级,常用汉字
愚,おろか,,,训读,,3级,常用汉字
塗,と,,,音读,涂,3级,常用汉字
塗,ぬ,る,,训读,涂,3级,常用汉字
棄,き,,,音读,弃,3级,常用汉字
隔,かく,,,音读,,3级,常用汉字
隔,へだ,てる,,训读,,3级,常用汉字
隔,へだ,たる,,训读,,3级,常用汉字
慈,じ,,,音读,,3级,常用汉字
慈,いつく,しむ,,训读,,3级,常用汉字
催,さい,,,音读,,3级,常用汉字
催,もよお,す,,训读,,3级,常用汉字
債,さい,,,音读,债,3级,常用汉字
搾,さく,,,音读,榨,3级,常用汉字
搾,しぼ,る,,训读,榨,3级,常用汉字
滝,たき,,瀧,训读,,3级,常用汉字
滞,たい,,滯,音读,,3级,常用汉字
滞,とどこお,る,滯,训读,,3级,常用汉字
嫁,か,,,音读,,3级,常用汉字
嫁,よめ,,,训读,,3级,常用汉字
嫁,とつ,ぐ,,训读,,3级,常用汉字
零,れい,,,音读,,3级,常用汉字
摂,せつ,,攝,音读,摄,3级,常用汉字
塊,かい,,,音读,块,3级,常用汉字
塊,かたまり,,,训读,块,3级,常用汉字
稚,ち,,,音读,,3级,常用汉字
慨,がい,,慨,音读,,3级,常用汉字
該,がい,,,音读,该,3级,常用汉字
裸,ら,,,音读,,3级,常用汉字
裸,はだか,,,训读,,3级,常用汉字
滑,かつ,,,音读,,3级,常用汉字
滑,こつ,,,音读,,3级,常用汉字
滑,すべ,る,,训读,,3级,常用汉字
滑,なめらか,,,训读,,3级,常用汉字
賊,ぞく,,,音读,贼,3级,常用汉字
漂,ひょう,,,音读,,3级,常用汉字
漂,ただよ,う,,训读,,3级,常用汉字
漏,ろう,,,音读,,3级,常用汉字
漏,も,る,,训读,,3级,常用汉字
漏,も,れる,,训读,,3级,常用汉字
漏,も,らす,,训读,,3级,常用汉字
酵,こう,,,音读,,3级,常用汉字
綱,こう,,,音读,纲,3级,常用汉字
綱,つな,,,训读,纲,3级,常用汉字
魂,こん,,,音读,,3级,常用汉字
魂,たましい,,,训读,,3级,常用汉字
獄,ごく,,,音读,狱,3级,常用汉字
憎,ぞう,,憎,音读,,3级,常用汉字
憎,にく,む,憎,训读,,3级,常用汉字
憎,にく,い,憎,训读,,3级,常用汉字
憎,にく,らしい,憎,训读,,3级,常用汉字
憎,にく,しみ,憎,训读,,3级,常用汉字
慕,ぼ,,,音读,,3级,常用汉字
慕,した,う,,训读,,3级,常用汉字
誘,ゆう,,,音读,诱,3级,常用汉字
誘,さそ,う,,训读,诱,3级,常用汉字
膜,まく,,,音读,,3级,常用汉字
概,がい,,槪,音读,,3级,常用汉字
墨,ぼく,,墨,音读,,3级,常用汉字
墨,すみ,,墨,训读,,3级,常用汉字
奪,だつ,,,音读,夺,3级,常用汉字
奪,うば,う,,训读,夺,3级,常用汉字
遭,そう,,,音读,,3级,常用汉字
遭,あ,う,,训读,,3级,常用汉字
碑,ひ,,碑,音读,,3级,常用汉字
慰,い,,,音读,,3级,常用汉字
慰,なぐさ,める,,训读,,3级,常用汉字
慰,なぐさ,む,,训读,,3级,常用汉字
緊,きん,,,音读,紧,3级,常用汉字
緩,かん,,,音读,缓,3级,常用汉字
緩,ゆる,い,,训读,缓,3级,常用汉字
緩,ゆるやか,,,训读,缓,3级,常用汉字
緩,ゆる,む,,训读,缓,3级,常用汉字
緩,ゆる,める,,训读,缓,3级,常用汉字
閲,えつ,,,音读,阅,3级,常用汉字
霊,れい,,靈,音读,灵,3级,常用汉字
霊,りょう,,靈,音读,灵,3级,常用汉字
霊,たま,,靈,训读,灵,3级,常用汉字
餓,が,,,音读,饿,3级,常用汉字
魅,み,,,音读,,3级,常用汉字
憂,ゆう,,,音读,忧,3级,常用汉字
憂,うれ,える,,训读,忧,3级,常用汉字
憂,うれ,い,,训读,忧,3级,常用汉字
憂,う,い,,训读,忧,3级,常用汉字
墳,ふん,,,音读,坟,3级,常用汉字
穂,すい,,穗,音读,穗,3级,常用汉字
穂,ほ,,穗,训读,穗,3级,常用汉字
潤,じゅん,,,音读,润,3级,常用汉字
潤,うるお,う,,训读,润,3级,常用汉字
潤,うるお,す,,训读,润,3级,常用汉字
潤,うる,む,,训读,润,3级,常用汉字
暫,ざん,,,音读,暂,3级,常用汉字
遵,じゅん,,,音读,,3级,常用汉字
締,てい,,,音读,缔,3级,常用汉字
締,し,まる,,训读,缔,3级,常用汉字
締,し,める,,训读,缔,3级,常用汉字
衝,しょう,,,音读,冲,3级,常用汉字
鋳,ちゅう,,鑄,音读,铸,3级,常用汉字
鋳,い,る,鑄,训读,铸,3级,常用汉字
駐,ちゅう,,,音读,驻,3级,常用汉字
嘱,しょく,,囑,音读,,3级,常用汉字
撮,さつ,,,音读,,3级,常用汉字
撮,と,る,,训读,,3级,常用汉字
墜,つい,,,音读,坠,3级,常用汉字
審,しん,,,音读,审,3级,常用汉字
潜,せん,,潛,音读,,3级,常用汉字
潜,ひそ,む,潛,训读,,3级,常用汉字
潜,もぐ,る,潛,训读,,3级,常用汉字
請,せい,,,音读,请,3级,常用汉字
請,しん,,,音读,请,3级,常用汉字
請,こ,う,,训读,请,3级,常用汉字
請,う,ける,,训读,请,3级,常用汉字
諾,だく,,,音读,诺,3级,常用汉字
錬,れん,,鍊,音读,炼,3级,常用汉字
穏,おん,,穩,音读,稳,3级,常用汉字
穏,おだやか,,穩,训读,稳,3级,常用汉字
壇,だん,,,音读,坛,3级,常用汉字
壇,たん,,,音读,坛,3级,常用汉字
擁,よう,,,音读,拥,3级,常用汉字
錠,じょう,,,音读,锭,3级,常用汉字
篤,とく,,,音读,笃,3级,常用汉字
嬢,じょう,,孃,音读,娘,3级,常用汉字
縫,ほう,,,音读,缝,3级,常用汉字
縫,ぬ,う,,训读,缝,3级,常用汉字
縛,ばく,,,音读,缚,3级,常用汉字
縛,しば,る,,训读,缚,3级,常用汉字
錯,さく,,,音读,错,3级,常用汉字
賢,けん,,,音读,贤,3级,常用汉字
賢,かしこ,い,,训读,贤,3级,常用汉字
墾,こん,,,音读,垦,3级,常用汉字
凝,ぎょう,,,音读,,3级,常用汉字
凝,こ,る,,训读,,3级,常用汉字
凝,こ,らす,,训读,,3级,常用汉字
謀,ぼう,,,音读,谋,3级,常用汉字
謀,む,,,音读,谋,3级,常用汉字
謀,はか,る,,训读,谋,3级,常用汉字
憩,けい,,,音读,,3级,常用汉字
憩,いこ,い,,训读,,3级,常用汉字
憩,いこ,う,,训读,,3级,常用汉字
膨,ぼう,,,音读,,3级,常用汉字
膨,ふく,らむ,,训读,,3级,常用汉字
膨,ふく,れる,,训读,,3级,常用汉字
諮,し,,,音读,谘,3级,常用汉字
諮,はか,る,,训读,谘,3级,常用汉字
犠,ぎ,,犧,音读,牺,3级,常用汉字
聴,ちょう,,聽,音读,听,3级,常用汉字
聴,き,く,聽,训读,听,3级,常用汉字
鍛,たん,,,音读,锻,3级,常用汉字
鍛,きた,える,,训读,锻,3级,常用汉字
擦,さつ,,,音读,,3级,常用汉字
擦,す,る,,训读,,3级,常用汉字
擦,す,れる,,训读,,3级,常用汉字
糧,りょう,,,音读,粮,3级,常用汉字
糧,ろう,,,音读,粮,3级,常用汉字
糧,かて,,,训读,粮,3级,常用汉字
覆,ふく,,,音读,,3级,常用汉字
覆,おお,う,,训读,,3级,常用汉字
覆,くつがえ,す,,训读,,3级,常用汉字
覆,くつがえ,る,,训读,,3级,常用汉字
癖,へき,,,音读,,3级,常用汉字
癖,くせ,,,训读,,3级,常用汉字
繕,ぜん,,,音读,缮,3级,常用汉字
繕,つくろ,う,,训读,缮,3级,常用汉字
翻,ほん,,飜,音读,,3级,常用汉字
翻,ひるがえ,る,飜,训读,,3级,常用汉字
翻,ひるがえ,す,飜,训读,,3级,常用汉字
穫,かく,,,音读,获,3级,常用汉字
騎,き,,,音读,骑,3级,常用汉字
鎮,ちん,,鎭,音读,镇,3级,常用汉字
鎮,しず,める,鎭,训读,镇,3级,常用汉字
鎮,しず,まる,鎭,训读,镇,3级,常用汉字
礎,そ,,,音读,础,3级,常用汉字
礎,いしずえ,,,训读,础,3级,常用汉字
藩,はん,,,音读,,3级,常用汉字
濫,らん,,,音读,滥,3级,常用汉字
鶏,けい,,鷄,音读,鸡,3级,常用汉字
鶏,にわとり,,鷄,训读,鸡,3级,常用汉字
簿,ぼ,,,音读,,3级,常用汉字
鯨,げい,,,音读,鲸,3级,常用汉字
鯨,くじら,,,训读,鲸,3级,常用汉字
瀬,せ,,瀨,训读,濑,3级,常用汉字
髄,ずい,,髓,音读,髓,3级,常用汉字
譲,じょう,,讓,音读,让,3级,常用汉字
譲,ゆず,る,讓,训读,让,3级,常用汉字
籍,せき,,,音读,,3级,常用汉字
鐘,しょう,,,音读,钟,3级,常用汉字
鐘,かね,,,训读,钟,3级,常用汉字
魔,ま,,,音读,,3级,常用汉字
顧,こ,,,音读,顾,3级,常用汉字
顧,かえり,みる,,训读,顾,3级,常用汉字
与,よ,,與,音读,,4级,常用汉字
与,あた,える,與,训读,,4级,常用汉字
丈,じょう,,,音读,,4级,常用汉字
丈,たけ,,,训读,,4级,常用汉字
及,きゅう,,,音读,,4级,常用汉字
及,およ,ぶ,,训读,,4级,常用汉字
及,およ,び,,训读,,4级,常用汉字
及,およ,ぼす,,训读,,4级,常用汉字
凡,ぼん,,,音读,,4级,常用汉字
凡,はん,,,音读,,4级,常用汉字
互,ご,,,音读,,4级,常用汉字
互,たが,い,,训读,,4级,常用汉字
凶,きょう,,,音读,,4级,常用汉字
丹,たん,,,音读,,4级,常用汉字
介,かい,,,音读,,4级,常用汉字
刈,か,る,,训读,,4级,常用汉字
匹,ひつ,,,音读,,4级,常用汉字
匹,ひき,,,训读,,4级,常用汉字
丘,きゅう,,,音读,,4级,常用汉字
丘,おか,,,训读,,4级,常用汉字
甘,かん,,,音读,,4级,常用汉字
甘,あま,い,,训读,,4级,常用汉字
甘,あま,える,,训读,,4级,常用汉字
甘,あま,やかす,,训读,,4级,常用汉字
払,ふつ,,拂,音读,付,4级,常用汉字
払,はら,う,拂,训读,付,4级,常用汉字
巨,きょ,,,音读,,4级,常用汉字
込,こ,む,,训读,,4级,常用汉字
込,こ,める,,训读,,4级,常用汉字
矛,む,,,音读,,4级,常用汉字
矛,ほこ,,,训读,,4级,常用汉字
召,しょう,,,音读,,4级,常用汉字
召,め,す,,训读,,4级,常用汉字
奴,ど,,,音读,,4级,常用汉字
占,せん,,,音读,,4级,常用汉字
占,し,める,,训读,,4级,常用汉字
占,うらな,う,,训读,,4级,常用汉字
玄,げん,,,音读,,4级,常用汉字
汚,お,,,音读,污,4级,常用汉字
汚,けが,す,,训读,污,4级,常用汉字
汚,けが,れる,,训读,污,4级,常用汉字
汚,けが,らわしい,,训读,污,4级,常用汉字
汚,よご,す,,训读,污,4级,常用汉字
汚,よご,れる,,训读,污,4级,常用汉字
汚,きたな,い,,训读,污,4级,常用汉字
朱,しゅ,,,音读,,4级,常用汉字
仰,ぎょう,,,音读,,4级,常用汉字
仰,こう,,,音读,,4级,常用汉字
仰,あお,ぐ,,训读,,4级,常用汉字
仰,おお,せ,,训读,,4级,常用汉字
扱,あつか,う,,训读,,4级,常用汉字
汗,かん,,,音读,,4级,常用汉字
汗,あせ,,,训读,,4级,常用汉字
弐,に,,貳,音读,弍,4级,常用汉字
芝,しば,,,训读,,4级,常用汉字
芋,いも,,,训读,,4级,常用汉字
忙,ぼう,,,音读,,4级,常用汉字
忙,いそが,しい,,训读,,4级,常用汉字
尽,じん,,盡,音读,,4级,常用汉字
尽,つ,くす,盡,训读,,4级,常用汉字
尽,つ,きる,盡,训读,,4级,常用汉字
尽,つかす,,盡,训读,,4级,常用汉字
朽,きゅう,,,音读,,4级,常用汉字
朽,く,ちる,,训读,,4级,常用汉字
旨,し,,,音读,,4级,常用汉字
旨,むね,,,训读,,4级,常用汉字
劣,れつ,,,音读,,4级,常用汉字
劣,おと,る,,训读,,4级,常用汉字
旬,じゅん,,,音读,,4级,常用汉字
旬,しゅん,,,音读,,4级,常用汉字
吐,と,,,音读,,4级,常用汉字
吐,は,く,,训读,,4级,常用汉字
巡,じゅん,,,音读,,4级,常用汉字
巡,めぐ,る,,训读,,4级,常用汉字
舟,しゅう,,,音读,,4级,常用汉字
舟,ふね,,,训读,,4级,常用汉字
舟,ふな,,,训读,,4级,常用汉字
叫,きょう,,,音读,,4级,常用汉字
叫,さけ,ぶ,,训读,,4级,常用汉字
迎,げい,,,音读,,4级,常用汉字
迎,むか,える,,训读,,4级,常用汉字
抜,ばつ,,拔,音读,拔,4级,常用汉字
抜,ぬ,く,拔,训读,拔,4级,常用汉字
抜,ぬ,ける,拔,训读,拔,4级,常用汉字
抜,ぬ,かす,拔,训读,拔,4级,常用汉字
抜,ぬ,かる,拔,训读,拔,4级,常用汉字
攻,こう,,,音读,,4级,常用汉字
攻,せ,める,,训读,,4级,常用汉字
却,きゃく,,,音读,,4级,常用汉字
更,こう,,,音读,,4级,常用汉字
更,さら,,,训读,,4级,常用汉字
更,ふ,ける,,训读,,4级,常用汉字
更,ふ,かす,,训读,,4级,常用汉字
狂,きょう,,,音读,,4级,常用汉字
狂,くる,う,,训读,,4级,常用汉字
狂,くる,おしい,,训读,,4级,常用汉字
尾,び,,,音读,,4级,常用汉字
尾,お,,,训读,,4级,常用汉字
抗,こう,,,音读,,4级,常用汉字
吹,すい,,,音读,,4级,常用汉字
吹,ふ,く,,训读,,4级,常用汉字
壱,いち,,壹,音读,壹,4级,常用汉字
床,しょう,,,音读,,4级,常用汉字
床,とこ,,,训读,,4级,常用汉字
床,ゆか,,,训读,,4级,常用汉字
妙,みょう,,,音读,,4级,常用汉字
秀,しゅう,,,音读,,4级,常用汉字
秀,ひい,でる,,训读,,4级,常用汉字
戒,かい,,,音读,,4级,常用汉字
戒,いまし,める,,训读,,4级,常用汉字
伺,し,,,音读,,4级,常用汉字
伺,うかが,う,,训读,,4级,常用汉字
坊,ぼう,,,音读,,4级,常用汉字
坊,ぼっ,,,音读,,4级,常用汉字
含,がん,,,音读,,4级,常用汉字
含,ふく,む,,训读,,4级,常用汉字
含,ふく,める,,训读,,4级,常用汉字
沈,ちん,,,音读,,4级,常用汉字
沈,しず,む,,训读,,4级,常用汉字
沈,しず,める,,训读,,4级,常用汉字
即,そく,,卽,音读,,4级,常用汉字
沢,たく,,澤,音读,泽,4级,常用汉字
沢,さわ,,澤,训读,泽,4级,常用汉字
彼,ひ,,,音读,,4级,常用汉字
彼,かれ,,,训读,,4级,常用汉字
彼,かの,,,训读,,4级,常用汉字
抵,てい,,,音读,,4级,常用汉字
姓,せい,,,音读,,4级,常用汉字
姓,しょう,,,音读,,4级,常用汉字
拓,たく,,,音读,,4级,常用汉字
杯,はい,,,音读,,4级,常用汉字
杯,さかずき,,,训读,,4级,常用汉字
茂,も,,,音读,,4级,常用汉字
茂,しげ,る,,训读,,4级,常用汉字
到,とう,,,音读,,4级,常用汉字
沼,しょう,,,音读,,4级,常用汉字
沼,ぬま,,,训读,,4级,常用汉字
突,とつ,,突,音读,,4级,常用汉字
突,つ,く,突,训读,,4级,常用汉字
刺,し,,,音读,,4级,常用汉字
刺,さ,す,,训读,,4级,常用汉字
刺,さ,さる,,训读,,4级,常用汉字
征,せい,,,音读,,4级,常用汉字
迫,はく,,,音读,,4级,常用汉字
迫,せま,る,,训读,,4级,常用汉字
拍,はく,,,音读,,4级,常用汉字
拍,ひょう,,,音读,,4级,常用汉字
泊,はく,,,音读,,4级,常用汉字
泊,と,まる,,训读,,4级,常用汉字
泊,と,める,,训读,,4级,常用汉字
怖,ふ,,,音读,,4级,常用汉字
怖,こわ,い,,训读,,4级,常用汉字
肩,けん,,,音读,,4级,常用汉字
肩,かた,,,训读,,4级,常用汉字
押,おう,,,音读,,4级,常用汉字
押,お,す,,训读,,4级,常用汉字
押,お,さえる,,训读,,4级,常用汉字
祈,き,,祈,音读,,4级,常用汉字
祈,いの,る,祈,训读,,4级,常用汉字
況,きょう,,,音读,况,4级,常用汉字
抱,ほう,,,音读,,4级,常用汉字
抱,だ,く,,训读,,4级,常用汉字
抱,いだ,く,,训读,,4级,常用汉字
抱,かか,える,,训读,,4级,常用汉字
肪,ぼう,,,音读,,4级,常用汉字
拠,きょ,,據,音读,据,4级,常用汉字
拠,こ,,據,音读,据,4级,常用汉字
屈,くつ,,,音读,,4级,常用汉字
依,い,,,音读,,4级,常用汉字
依,え,,,音读,,4级,常用汉字
奇,き,,,音读,,4级,常用汉字
荒,こう,,,音读,,4级,常用汉字
荒,あら,い,,训读,,4级,常用汉字
荒,あ,れる,,训读,,4级,常用汉字
荒,あ,らす,,训读,,4级,常用汉字
咲,さ,く,,训读,,4级,常用汉字
侵,しん,,,音读,,4级,常用汉字
侵,おか,す,,训读,,4级,常用汉字
是,ぜ,,,音读,,4级,常用汉字
盆,ぼん,,,音读,,4级,常用汉字
狩,しゅ,,,音读,,4级,常用汉字
狩,か,る,,训读,,4级,常用汉字
狩,か,り,,训读,,4级,常用汉字
峠,とうげ,,,训读,,4级,常用汉字
柔,じゅう,,,音读,,4级,常用汉字
柔,にゅう,,,音读,,4级,常用汉字
柔,やわらか,,,训读,,4级,常用汉字
柔,やわ,らかい,,训读,,4级,常用汉字
皆,かい,,,音读,,4级,常用汉字
皆,みな,,,训读,,4级,常用汉字
冒,ぼう,,,音读,,4级,常用汉字
冒,おか,す,,训读,,4级,常用汉字
逃,とう,,,音读,,4级,常用汉字
逃,に,げる,,训读,,4级,常用汉字
逃,に,がす,,训读,,4级,常用汉字
逃,のが,す,,训读,,4级,常用汉字
逃,のが,れる,,训读,,4级,常用汉字
盾,じゅん,,,音读,,4级,常用汉字
盾,たて,,,训读,,4级,常用汉字
怒,ど,,,音读,,4级,常用汉字
怒,いか,る,,训读,,4级,常用汉字
怒,おこ,る,,训读,,4级,常用汉字
恒,こう,,恆,音读,,4级,常用汉字
郎,ろう,,郞,音读,,4级,常用汉字
枯,こ,,,音读,,4级,常用汉字
枯,か,れる,,训读,,4级,常用汉字
枯,か,らす,,训读,,4级,常用汉字
狭,きょう,,狹,音读,,4级,常用汉字
狭,せま,い,狹,训读,,4级,常用汉字
狭,せば,める,狹,训读,,4级,常用汉字
狭,せば,まる,狹,训读,,4级,常用汉字
珍,ちん,,,音读,,4级,常用汉字
珍,めずら,しい,,训读,,4级,常用汉字
俗,ぞく,,,音读,,4级,常用汉字
耐,たい,,,音读,,4级,常用汉字
耐,た,える,,训读,,4级,常用汉字
威,い,,,音读,,4级,常用汉字
柄,へい,,,音读,,4级,常用汉字
柄,がら,,,训读,,4级,常用汉字
柄,え,,,训读,,4级,常用汉字
為,い,,爲,音读,为,4级,常用汉字
致,ち,,,音读,,4级,常用汉字
致,いた,す,,训读,,4级,常用汉字
称,しょう,,稱,音读,,4级,常用汉字
恥,ち,,,音读,耻,4级,常用汉字
恥,は,じる,,训读,耻,4级,常用汉字
恥,はじ,,,训读,耻,4级,常用汉字
恥,は,じらう,,训读,耻,4级,常用汉字
恥,は,ずかしい,,训读,耻,4级,常用汉字
眠,みん,,,音读,,4级,常用汉字
眠,ねむ,る,,训读,,4级,常用汉字
眠,ねむ,い,,训读,,4级,常用汉字
陣,じん,,,音读,阵,4级,常用汉字
振,しん,,,音读,,4级,常用汉字
振,ふ,る,,训读,,4级,常用汉字
振,ふ,るう,,训读,,4级,常用汉字
振,ふ,れる,,训读,,4级,常用汉字
恋,れん,,戀,音读,,4级,常用汉字
恋,こう,,戀,训读,,4级,常用汉字
恋,こい,,戀,训读,,4级,常用汉字
恋,こい,しい,戀,训读,,4级,常用汉字
透,とう,,,音读,,4级,常用汉字
透,す,く,,训读,,4级,常用汉字
透,す,かす,,训读,,4级,常用汉字
透,す,ける,,训读,,4级,常用汉字
唐,とう,,,音读,,4级,常用汉字
唐,から,,,训读,,4级,常用汉字
浸,しん,,,音读,,4级,常用汉字
浸,ひた,す,,训读,,4级,常用汉字
浸,ひた,る,,训读,,4级,常用汉字
桃,とう,,,音读,,4级,常用汉字
